,ds,yhat,yhat_lower,yhat_upper,y,cutoff
224,2019-09-06,1458.4383144472886,1181.714770638366,1734.9467548649602,1677,2019-01-24
225,2019-09-07,1099.315061327829,840.9656443831457,1381.8762575809442,1369,2019-01-24
226,2019-09-08,972.0239001274801,701.5620041846981,1257.2409031667198,1090,2019-01-24
227,2019-09-09,1437.0156989535146,1177.050817751603,1684.1403159632846,1682,2019-01-24
228,2019-09-10,1436.2651365224372,1159.4551162879634,1700.0012821548892,1729,2019-01-24
229,2019-09-11,1365.351163168622,1086.82043660689,1613.6976622471889,2172,2019-01-24
230,2019-09-12,1281.3784618136588,1016.7535710388559,1552.3703678361562,1829,2019-01-24
231,2019-09-13,1310.5623624122572,1032.5603945314608,1591.8932651525765,1747,2019-01-24
232,2019-09-14,947.8173410547911,678.0303454028141,1223.633043233831,1351,2019-01-24
233,2019-09-15,819.3320010717339,553.1388920792688,1105.379904959871,1252,2019-01-24
234,2019-09-16,1285.6719766347649,1026.9243962395728,1557.6763425044705,1862,2019-01-24
235,2019-09-17,1288.8637468416732,1018.2282541326272,1565.037026646669,2025,2019-01-24
236,2019-09-18,1224.47107409177,961.263841514828,1490.2403403690244,1900,2019-01-24
237,2019-09-19,1149.5142372176665,876.9652481167747,1402.821219161296,1553,2019-01-24
238,2019-09-20,1190.054633557034,927.2108668840654,1451.6613068088434,1824,2019-01-24
239,2019-09-21,840.7849489948385,570.0135990030352,1117.5670539371704,1459,2019-01-24
240,2019-09-22,727.6078051127621,472.84416485155174,976.5482953068692,1233,2019-01-24
241,2019-09-23,1210.7442781558764,926.1156733991281,1486.1854440261893,2271,2019-01-24
242,2019-09-24,1231.8251744348772,963.8033438519027,1510.5424012462356,2187,2019-01-24
243,2019-09-25,1185.9766167919925,925.5835326473449,1431.1218690370893,1750,2019-01-24
244,2019-09-26,1129.7499009872115,869.3154377832509,1395.7980109544344,1516,2019-01-24
245,2019-09-27,1188.7179371118564,935.7705046196111,1461.6852099381977,1639,2019-01-24
246,2019-09-28,857.0781749413911,578.8044149063719,1138.3044738143249,1298,2019-01-24
247,2019-09-29,760.244588958975,499.9855088011132,1040.5437169615159,1109,2019-01-24
248,2019-09-30,1257.9697598311704,980.8789747071428,1524.721855270836,1599,2019-01-24
249,2019-10-01,1291.4495642538566,1020.2503997443285,1554.5778660966257,1764,2019-01-24
250,2019-10-02,1255.4216505427378,978.3069080066484,1506.7848618341989,1797,2019-01-24
251,2019-10-03,1206.107287607503,924.5734368543375,1469.6523601780566,1552,2019-01-24
252,2019-10-04,1268.818547839136,998.0195012775914,1538.0142541431032,1610,2019-01-24
253,2019-10-05,937.5703951580208,672.6151332595665,1205.4014265229816,1254,2019-01-24
254,2019-10-06,837.6799629049478,572.0558244386496,1125.7645081146907,1078,2019-01-24
255,2019-10-07,1328.8938127638007,1075.91730291276,1605.8807379704156,1520,2019-01-24
256,2019-10-08,1352.495494177245,1082.8887035758175,1611.7159578273797,2183,2019-01-24
257,2019-10-09,1303.4044485963798,1068.699114552507,1563.3384048612868,1683,2019-01-24
